Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
26	-0.1	0.0	-0.1	-0.1	382.5	0.033460017	0.039390285	0.110808656	-0.041124757	135000	-2.682209e-08	0.0034705768	-0.0021233752	-0.002729048	0.7854068	0.0038368541	0.031600002	79.0	1578.7288272380829
27	0.022222213	0.34569666	1.0	-0.1	492.8889	-0.0020482482	0.011309253	0.015537608	-0.021911364	140000	-8.940697e-09	0.011013253	-0.0034208312	-0.0002511393	0.7822943	0.009197408	0.1266	79.0	1639.2848360538483
28	0.099999994	0.42426407	1.0	-0.1	372.0	0.008422447	0.007894661	0.025723245	-0.004278455	145000	-1.1920929e-08	0.021076417	-0.0035615177	-0.005111412	0.76702374	0.009148215	0.08580001	79.0	1699.6267235279083
29	0.29999998	0.52915025	1.0	-0.1	362.27274	0.06699433	0.064037696	0.18136635	-0.03648025	150000	3.576279e-08	0.046600472	-0.0045823855	-0.020160438	0.76469785	0.0066888584	0.0922	79.0	1759.9710268974304
30	0.15384614	0.46345755	1.0	-0.1	318.69232	0.10432836	0.079097666	0.31541988	-0.0069447868	155000	3.9115546e-09	0.038651515	-0.0035430305	-0.009233441	0.7531188	0.00679013	0.067200005	79.0	1820.4913778305054
31	0.15384614	0.46345755	1.0	-0.1	304.69232	0.059369348	0.021016553	0.089101195	0.023413533	160000	0.0	0.032222413	-0.0035313903	-0.008543636	0.7607851	0.007078573	0.088	79.0	1880.9688296318054
32	0.23846152	0.50769234	1.0	-0.1	341.0	0.0738255	0.07458769	0.19934158	-0.07325561	165000	-2.9802323e-09	0.038359426	-0.0027638383	-0.0020527083	0.76507413	0.009939159	0.093399994	79.0	1941.46164560318
33	0.175	0.47631398	1.0	-0.1	351.0	0.06906072	0.023472905	0.10381198	0.021960482	170000	1.4901161e-08	0.030074025	-0.003325461	-0.00096585957	0.74957526	0.02085941	0.2906	5.0	1998.1370396614075
34	0.2142857	0.49692932	1.0	-0.1	301.57144	0.04569478	0.0062456415	0.052564994	0.03323035	175000	0.0	0.038247533	-0.004140134	-0.002298355	0.7484962	0.008728655	0.12420001	79.0	2058.4892916679382
35	0.15384613	0.46345755	1.0	-0.1	333.69232	0.0659033	0.033672087	0.13534868	0.009186849	180000	4.4703485e-09	0.02864274	-0.0034480155	-0.0007682283	0.7338047	0.009820415	0.098799996	79.0	2119.0843226909637
36	0.41333333	0.5487764	1.0	-0.1	280.4	0.05738573	0.027944444	0.14583036	-0.0045378245	185000	-8.940697e-09	0.060186468	-0.0036777346	-0.0067442507	0.719847	0.010905828	0.10039999	79.0	2179.32040309906
37	0.48666668	0.54877645	1.0	-0.1	280.06668	0.12747942	0.017776122	0.14752041	0.083841994	190000	-8.940697e-09	0.056852054	-0.0040240837	-0.0151679935	0.72559625	0.007005851	0.076	79.0	2239.705288171768
38	0.51875	0.5456862	1.0	-0.1	263.875	0.036835164	0.12774508	0.43554118	-0.15680903	195000	-8.195639e-09	0.068286896	-0.0032035322	-0.01939287	0.7265886	0.005063773	0.030199999	79.0	2301.01934838295
39	0.32777777	0.53624785	1.0	-0.1	246.77777	0.30672374	0.18737784	0.6012072	-0.045446664	200000	-5.9604645e-08	0.08382781	-0.0026067465	-0.03966639	0.7129452	0.0059435754	0.0398	79.0	2362.390008211136
40	0.10625	0.4293436	1.0	-0.1	281.375	0.055523906	0.08993997	0.26996282	-0.09404318	205000	-5.9604646e-09	0.029190343	-0.003151732	-0.0016289372	0.71995497	0.01671286	0.2626	5.0	2419.1387271881104
41	0.4176471	0.5490476	1.0	-0.1	258.2353	0.07072403	0.06446245	0.20824553	-0.025427535	210000	0.0	0.06679764	-0.0016926415	-0.028022563	0.72053266	0.0044121584	0.0454	79.0	2480.512103319168
42	0.33999997	0.53888774	1.0	-0.1	238.05	0.16788317	0.124308474	0.37951556	0.00018582307	215000	-1.1920929e-08	0.0838225	-0.0038576096	-0.0388451	0.7134335	0.0057959463	0.0732	79.0	2541.8145909309387
43	0.56	0.53888774	1.0	-0.1	221.45	0.124321975	0.15744054	0.3078356	-0.26800713	220000	-2.9802323e-09	0.07366519	-0.0035145194	-0.02552979	0.7040659	0.005329313	0.0612	79.0	2603.1768732070923
44	0.4789474	0.5492377	1.0	-0.1	229.42105	0.19476329	0.13850205	0.43569058	-0.0643133	225000	2.9802323e-09	0.05743164	-0.0049100965	-0.005376657	0.6990408	0.005012717	0.0926	79.0	2664.4233899116516
45	0.45	0.55	1.0	-0.1	212.75	0.16086572	0.17644033	0.43000096	-0.12914844	230000	-1.8626451e-09	0.071626544	-0.004732252	-0.013295516	0.6986969	0.007420705	0.065	79.0	2725.671401500702
46	0.7380952	0.4685095	1.0	-0.1	206.19048	0.14718156	0.15088718	0.35327354	-0.20768021	235000	-1.1920929e-08	0.10772009	-0.003067165	-0.035945695	0.7067787	0.0052887555	0.053600002	79.0	2787.6259837150574
47	0.76086956	0.45371813	1.0	-0.1	196.47826	0.23790567	0.10417251	0.43033087	-0.024891552	240000	-1.1920929e-08	0.10617294	-0.005273555	-0.038131796	0.7133919	0.006354441	0.0674	79.0	2849.8201942443848
48	0.6333334	0.51854503	1.0	-0.1	185.79167	0.3239068	0.06736149	0.43677992	0.16252922	245000	-1.7881394e-08	0.086950526	-0.002530904	-0.012855047	0.7081386	0.0060478756	0.042999998	79.0	2911.922132253647
49	0.87307686	0.35143408	1.0	-0.1	167.5	0.2904264	0.08040154	0.40826732	0.13022958	250000	8.940697e-09	0.08425152	-0.0038138598	-0.01762729	0.7032571	0.004985503	0.056599997	79.0	2974.877805709839
50	0.7962963	0.4272925	1.0	-0.1	171.14815	0.33626518	0.14630255	0.49979368	-0.027241413	255000	1.7881394e-08	0.07104456	-0.0023781708	-0.012024352	0.68919134	0.0040038503	0.0374	79.0	3037.8320729732513
51	0.7962963	0.4272925	1.0	-0.1	168.44444	0.369224	0.14315361	0.5554168	-0.14682958	260000	8.940697e-09	0.06047062	-0.005476402	-0.005722538	0.68146646	0.0066732108	0.07180001	79.0	3100.762037754059
52	0.8821429	0.3402243	1.0	-0.1	155.0	0.4208829	0.14907472	0.6288002	-0.13855825	265000	5.9604646e-09	0.06529546	-0.0032744028	-0.014853068	0.67254525	0.0046996395	0.046599995	79.0	3164.6048793792725
53	0.81666666	0.40994582	1.0	-0.1	153.0	0.4213747	0.14878313	0.6062794	-0.058625203	270000	0.0	0.08128015	-0.003963735	-0.015808806	0.65863454	0.0057356707	0.059000004	79.0	3227.5976400375366
54	0.89000005	0.33	1.0	-0.1	151.5	0.38640812	0.1366015	0.5501485	0.024107173	275000	-8.940697e-09	0.069141306	-0.0042346893	-0.013746733	0.64828	0.006489192	0.063999996	79.0	3290.622378349304
55	0.89354837	0.32521504	1.0	-0.1	145.41936	0.4378929	0.14475773	0.5868812	-0.051146828	280000	-1.6391278e-08	0.070478156	-0.0046409373	-0.009904021	0.6382799	0.0065085352	0.059800006	79.0	3354.5215904712677
56	0.93714285	0.25532696	1.0	-0.1	134.45714	0.41324404	0.13431361	0.6230777	-0.121342875	285000	-2.0395964e-08	0.077707276	-0.0031850517	-0.028764764	0.6324072	0.0033095435	0.0372	79.0	3418.4288408756256
